,pt_no,coordinate
131,pt_no131,"[[-10.9653376109673], [24.39758290519057], [-123.5]]"
132,pt_no132,"[[-6.481716272994634], [16.77997984500978], [-110.617004115991]]"
133,pt_no133,"[[-11.4264270648367], [17.06986804218308], [-96.34236378248364]]"
134,pt_no134,"[[-10.50421230420949], [33.43273523589017], [-109.366444390308]]"
135,pt_no135,"[[2.490874965262377], [28.80078993431307], [-104.2543487238385]]"
136,pt_no136,"[[-49.86222101747212], [36.14616304516493], [113.5]]"
137,pt_no137,"[[-50.86270831476725], [48.00675659691489], [101.2005734091404]]"
138,pt_no138,"[[-39.29157272599748], [37.02599448338172], [113.5]]"
139,pt_no139,"[[-51.75813402100341], [32.73286689469566], [98.4535948349745]]"
140,pt_no140,"[[-88.31081061246428], [33.48115720435126], [87.53167720596178]]"
141,pt_no141,"[[-88.31081061246428], [37.85597750152523], [74.39198894155277]]"
142,pt_no142,"[[-53.3108106124644], [-11.99324340308496], [-36.59999999999995]]"
143,pt_no143,"[[-41.3925743194262], [-20.58749659688395], [-36.59999999999995]]"
144,pt_no144,"[[-53.3108106124644], [-26.99324340308495], [-36.59999999999995]]"
145,pt_no145,"[[51.68918938753573], [10.52616819915949], [-2.394313286822253]]"
146,pt_no146,"[[51.68918938753573], [24.33721007357562], [-6.288716815378166]]"
147,pt_no147,"[[51.68918938753573], [16.30939047692389], [-16.43897625285439]]"
148,pt_no148,"[[32.59129553199519], [13.99031165972069], [-11.02839033876193]]"
149,pt_no149,"[[-88.3108106124643], [-41.9932434030851], [-64.25000000000014]]"
150,pt_no150,"[[-74.8456794031918], [-41.9932434030851], [-70.54355151891689]]"
151,pt_no151,"[[-88.3108106124643], [-28.27985669131844], [-71.66264200872317]]"
152,pt_no152,"[[-88.3108106124643], [-31.74964989678717], [-56.84375000000014]]"
153,pt_no153,"[[-11.81643431993223], [48.00675659691488], [-110.8950736033535]]"
154,pt_no154,"[[-12.18564621658055], [48.00675659691488], [-96.98886476448988]]"
155,pt_no155,"[[-24.41686152984733], [48.00675659691488], [-104.021239225598]]"
156,pt_no156,"[[-46.31081061246441], [-41.99324340308511], [-45.69326673973657]]"
157,pt_no157,"[[-56.64484698454507], [-41.99324340308511], [-43.36148881057166]]"
158,pt_no158,"[[-58.24308177269731], [-30.1269061127856], [-49.75675553881409]]"
159,pt_no159,"[[38.94811803110639], [48.00675659691487], [76.51089423509829]]"
160,pt_no160,"[[51.68918938753573], [48.00675659691487], [69.06250000000011]]"
161,pt_no161,"[[51.68918938753573], [37.85434956713169], [75.83489091083234]]"
162,pt_no162,"[[34.95260040585782], [33.86435787326616], [69.50825467820243]]"
163,pt_no163,"[[-67.34037124700225], [5.44238804192013], [68.39988975121688]]"
164,pt_no164,"[[-73.00351457462493], [9.585190054851228], [53.06822329168886]]"
165,pt_no165,"[[-61.93196955804722], [-2.574291428670593], [49.34506625880097]]"
166,pt_no166,"[[-74.3987881600703], [-5.57874254517172], [59.0519148854383]]"
167,pt_no167,"[[-36.77030845076164], [10.85466266857595], [-35.79999999999995]]"
168,pt_no168,"[[-48.31081061246439], [-1.57657673641863], [-25.79999999999998]]"
169,pt_no169,"[[-39.05131050251641], [1.364127650445432], [-15.79999999999993]]"
170,pt_no170,"[[-48.31081061246439], [12.59008993024802], [-25.79999999999998]]"
171,pt_no171,"[[-38.23670954346536], [48.00675659691489], [-25.79999999999994]]"
172,pt_no172,"[[-38.43681545727367], [38.13293181422834], [-15.79999999999992]]"
173,pt_no173,"[[-48.31081061246439], [40.20063414793523], [-22.2285714285714]]"
174,pt_no174,"[[-37.59838798192153], [37.52203459594789], [-35.79999999999995]]"
175,pt_no175,"[[51.68918938753572], [-11.39191053874633], [-41.12581354217713]]"
176,pt_no176,"[[51.68918938753572], [-16.77143977665899], [-29.41185864908499]]"
177,pt_no177,"[[51.68918938753573], [-4.256786342201806], [-28.07040002939053]]"
178,pt_no178,"[[35.20945257895394], [-9.652118086317175], [-38.61110697152218]]"
179,pt_no179,"[[-18.57565586319046], [-23.23653714277256], [-54.84472772212054]]"
180,pt_no180,"[[3.990265270685803], [-20.02298963593523], [-80.52094582900206]]"
181,pt_no181,"[[-14.96154936686413], [-2.540459871709254], [53.65753669494262]]"
182,pt_no182,"[[-5.07788308103024], [-10.49469513623648], [52.65434707328188]]"
183,pt_no183,"[[-9.055650797297973], [-7.553824512383779], [64.3800347409355]]"
