,pt_no,coordinate
187,pt_no187,"[[0.1549602640111978], [-14.38559671333351], [-15.79999999999994]]"
188,pt_no188,"[[11.68918938753561], [-8.659910069751959], [-15.79999999999999]]"
189,pt_no189,"[[1.541628838911873], [-3.297891342336662], [-15.79999999999994]]"
190,pt_no190,"[[-50.67238736434621], [-29.61079709060873], [113.5]]"
191,pt_no191,"[[-64.4588429311386], [-27.60406125012362], [113.5]]"
192,pt_no192,"[[-53.32531279143571], [-18.12946355847199], [113.5]]"
193,pt_no193,"[[-48.68202794197497], [-21.25386731678262], [99.45852064952662]]"
194,pt_no194,"[[-53.31081061246439], [25.50675659691484], [-25.79999999999997]]"
195,pt_no195,"[[-53.31081061246439], [33.00675659691484], [-35.79999999999997]]"
196,pt_no196,"[[-53.31081061246439], [18.0067565969148], [-35.79999999999998]]"
197,pt_no197,"[[-71.49001168581029], [30.30708725161342], [-31.08824491207946]]"
198,pt_no198,"[[-57.23481509908544], [48.00675659691489], [6.280117226843146]]"
199,pt_no199,"[[-58.63526749572954], [48.00675659691489], [-0.6612111673833239]]"
200,pt_no200,"[[-53.31081061246439], [33.00675659691481], [4.999999999999998]]"
201,pt_no201,"[[-66.66018482515483], [34.47537139051799], [9.546767453247558]]"
202,pt_no202,"[[-88.31081061246428], [-0.6620867381333682], [-4.70543876536891]]"
203,pt_no203,"[[-88.31081061246428], [-0.6423481852373314], [11.08731623788492]]"
204,pt_no204,"[[-88.3108106124643], [-14.37229185303412], [3.075630651437706]]"
205,pt_no205,"[[-70.15777404401894], [-9.542855134721549], [6.118578369886547]]"
206,pt_no206,"[[-58.08268948073357], [-41.99324340308511], [88.6453126337035]]"
207,pt_no207,"[[-63.16254125295546], [-41.99324340308511], [76.30674589086011]]"
208,pt_no208,"[[-47.98594971778297], [31.91022377445963], [45.52495764705285]]"
209,pt_no209,"[[-63.68541566621045], [25.50386335826777], [51.61576674196375]]"
210,pt_no210,"[[-56.6100029746821], [37.0314589658432], [38.4719922385019]]"
211,pt_no211,"[[-57.04449842995199], [23.06558902239102], [39.52083334911097]]"
212,pt_no212,"[[32.96499235449178], [-41.99324340308512], [38.36090064835506]]"
213,pt_no213,"[[41.77870067792988], [-41.99324340308513], [40.99576246276713]]"
214,pt_no214,"[[37.53004095933483], [-41.99324340308513], [31.39018746823235]]"
215,pt_no215,"[[34.85647383645725], [-23.00467356441685], [35.37020769456571]]"
216,pt_no216,"[[-19.04808056300606], [-41.99324340308512], [37.08737437713528]]"
217,pt_no217,"[[-6.613787949302816], [-41.99324340308512], [38.55215169214063]]"
218,pt_no218,"[[-16.59746283705684], [-32.45307581721042], [26.59999999999999]]"
219,pt_no219,"[[-17.83711861456262], [-27.66595858580367], [38.90193418164961]]"
220,pt_no220,"[[-23.90251304905077], [4.939012359006558], [4.999999999999996]]"
221,pt_no221,"[[-20.80476981989933], [4.879430667042992], [4.999999999999996]]"
222,pt_no222,"[[-22.87732272834], [1.219087303833472], [4.999999999999996]]"
223,pt_no223,"[[-48.31081061246439], [-17.76705292689485], [-25.79999999999998]]"
224,pt_no224,"[[-48.31081061246439], [-1.576576736418602], [-25.79999999999998]]"
225,pt_no225,"[[-38.22797829657937], [-7.129841680143201], [-15.79999999999993]]"
226,pt_no226,"[[-88.31081061246428], [27.09778457778243], [-36.07976836753686]]"
227,pt_no227,"[[-88.31081061246428], [13.16913765978657], [-28.29139269042899]]"
228,pt_no228,"[[-88.31081061246428], [12.64142441313798], [-44.09376260441528]]"
229,pt_no229,"[[-70.96021482304326], [10.50675659691478], [-36.19999999999754]]"
230,pt_no230,"[[-88.3108106124643], [-19.06512565078229], [-112.2967610042512]]"
231,pt_no231,"[[-88.3108106124643], [-31.28328720122186], [-112.8353607137518]]"
232,pt_no232,"[[-76.66623349087742], [-19.267169539628], [-123.5]]"
233,pt_no233,"[[-71.61979374263525], [-23.43176756532227], [-106.5245637422053]]"
234,pt_no234,"[[-14.83327172674205], [2.848044680837695], [26.59999999999999]]"
235,pt_no235,"[[-19.30154026305884], [3.666086383926085], [31.4072855917339]]"
236,pt_no236,"[[-14.64014055894978], [0.3292260564766155], [32.91974196771126]]"
237,pt_no237,"[[-16.56225469472055], [6.141706962894403], [29.41898011618003]]"
238,pt_no238,"[[-27.96054720997829], [-20.42533305409432], [26.59999999999999]]"
239,pt_no239,"[[-27.63044606446662], [-31.06175397356994], [26.59999999999999]]"
240,pt_no240,"[[-29.67709829902876], [-22.58614906097911], [40.79787410975847]]"
241,pt_no241,"[[14.51939197966386], [9.005681027478037], [56.50954091642346]]"
242,pt_no242,"[[22.42993186584777], [-6.971723804767114], [57.40235162704311]]"
243,pt_no243,"[[8.57487883374274], [1.50753697163551], [65.20961393376729]]"
244,pt_no244,"[[-18.28425941873807], [-30.78279650407679], [-36.59999999999996]]"
245,pt_no245,"[[-31.87758768560963], [-31.36942758814716], [-36.59999999999995]]"
246,pt_no246,"[[-25.77059787443525], [-25.82430503641223], [-54.93386035590457]]"
247,pt_no247,"[[-28.01005542398156], [11.76540061083601], [-14.99999999999993]]"
248,pt_no248,"[[-29.36234010880253], [15.08063879269693], [-4.799796260751206]]"
249,pt_no249,"[[-24.36116644820266], [10.06943052150335], [-8.492211869351086]]"
250,pt_no250,"[[-21.92810762141077], [15.54175924640269], [-9.419055806026956]]"
251,pt_no251,"[[-11.86131352079525], [7.674903552950372], [25.79999999999999]]"
252,pt_no252,"[[-14.70693514085472], [9.742291553385343], [25.79999999999999]]"
253,pt_no253,"[[-11.06240643992479], [11.75308351520933], [25.79999999999999]]"
254,pt_no254,"[[-11.41320297863876], [7.099686556390733], [18.40659552612481]]"
255,pt_no255,"[[-48.31081061246439], [-29.31987813861241], [-9.125364431486881]]"
256,pt_no256,"[[-36.89201592415108], [-25.6576062594546], [-14.99999999999994]]"
257,pt_no257,"[[-48.31081061246439], [-17.767052926895], [-5.000000000000002]]"
258,pt_no258,"[[-48.31081061246439], [-29.18712095410595], [-1.428571428571429]]"
259,pt_no259,"[[-4.799006083695764], [48.00675659691488], [103.1822551863007]]"
260,pt_no260,"[[-10.03977623344929], [48.00675659691488], [96.38631270591088]]"
261,pt_no261,"[[-1.458028514716499], [48.00675659691488], [95.41558449992898]]"
262,pt_no262,"[[-0.6137532548225533], [36.07358932184432], [100.3806922785425]]"
263,pt_no263,"[[-88.31081061246428], [18.02776410237986], [90.9909879480685]]"
264,pt_no264,"[[-88.31081061246428], [1.26540547897843], [88.60267157973075]]"
