,pt_no,coordinate
276,pt_no276,"[[0.4999999999999999], [0.3000000000000008], [0.0]]"
277,pt_no277,"[[0.4], [0.625], [0.8118033988749894]]"
278,pt_no278,"[[0.4999999999999999], [0.6000000000000021], [1.0]]"
279,pt_no279,"[[0.8118033988749894], [0.625], [0.3999999999999999]]"
280,pt_no280,"[[0.1881966011250105], [0.625], [0.3999999999999999]]"
281,pt_no281,"[[0.4], [0.625], [0.1881966011250105]]"
282,pt_no282,"[[0.4999999999999999], [0.6000000000000021], [0.0]]"
283,pt_no283,"[[0.8118033988749894], [0.625], [0.5999999999999999]]"
284,pt_no284,"[[0.5999999999999999], [0.625], [0.8118033988749894]]"
285,pt_no285,"[[0.5999999999999999], [0.625], [0.1881966011250105]]"
286,pt_no286,"[[0.1881966011250105], [0.625], [0.5999999999999999]]"
287,pt_no287,"[[0.4641165708650027], [2.547965846464056], [0.2085293191498775]]"
288,pt_no288,"[[0.4784060306296233], [2.541147265083707], [0.1692299854701116]]"
289,pt_no289,"[[0.4547815262844015], [2.635237879997294], [0.1671539642876431]]"
290,pt_no290,"[[0.4188255099070632], [2.460908425876599], [0.9]]"
291,pt_no291,"[[0.3109494409666113], [2.38911087946165], [0.8651195461258191]]"
292,pt_no292,"[[0.2499999999999999], [0.0], [0.75]]"
293,pt_no293,"[[0.2499999999999999], [0.0], [0.4999999999999999]]"
294,pt_no294,"[[0.4], [2.5], [0.2333333333333332]]"
295,pt_no295,"[[0.4950484433950807], [2.478305813044039], [0.8574477977196039]]"
296,pt_no296,"[[0.492745011776285], [2.474060378409752], [0.8209707874728766]]"
297,pt_no297,"[[0.5], [2.5], [0.09999999999999998]]"
298,pt_no298,"[[0.4999999999999999], [3.0], [0.75]]"
299,pt_no299,"[[0.3999999999999999], [0.41], [0.5999999999999999]]"
300,pt_no300,"[[0.5999999999999999], [0.41], [0.4]]"
301,pt_no301,"[[0.4], [2.5], [0.7666666666666668]]"
302,pt_no302,"[[0.75], [0.0], [0.2499999999999999]]"
303,pt_no303,"[[0.4611260466978155], [2.451253604390909], [0.9]]"
304,pt_no304,"[[0.4811744900929365], [2.460908425876598], [0.9]]"
305,pt_no305,"[[0.4875389366162269], [2.466972311044778], [0.7511278602945307]]"
306,pt_no306,"[[0.6078847748860332], [2.474551134150565], [0.7667442479558132]]"
307,pt_no307,"[[0.499656149274976], [2.50585378844692], [0.7210152708793123]]"
308,pt_no308,"[[0.75], [0.3000000000000009], [1.0]]"
309,pt_no309,"[[0.4490501428053965], [2.549990976898935], [0.121158446681251]]"
310,pt_no310,"[[0.457817573748282], [2.496522971817732], [0.9]]"
311,pt_no311,"[[0.462788947719765], [2.473443476420263], [0.9]]"
312,pt_no312,"[[0.4787365046793214], [2.493441080330163], [0.9]]"
313,pt_no313,"[[0.457817573748282], [2.496522971817732], [0.09999999999999998]]"
314,pt_no314,"[[0.4787365046793214], [2.493441080330163], [0.09999999999999998]]"
315,pt_no315,"[[0.462788947719765], [2.473443476420263], [0.09999999999999998]]"
316,pt_no316,"[[0.4999999999999999], [2.400000000000001], [0.0]]"
317,pt_no317,"[[0.4188255099070632], [2.460908425876599], [0.09999999999999998]]"
318,pt_no318,"[[0.4358785322304472], [2.467556525149228], [0.09999999999999998]]"
319,pt_no319,"[[0.4620736631923661], [2.548520373629201], [0.2923291713810927]]"
320,pt_no320,"[[0.4999999999999999], [1.5], [0.7]]"
321,pt_no321,"[[1.0], [1.800000000000003], [0.25]]"
322,pt_no322,"[[0.479437096471786], [2.476524698917786], [0.09999999999999998]]"
323,pt_no323,"[[0.479437096471786], [2.476524698917786], [0.9]]"
324,pt_no324,"[[0.4118994592483328], [2.467621785187714], [0.1170971246996949]]"
325,pt_no325,"[[0.404951556604879], [2.478305813044122], [0.09999999999999998]]"
326,pt_no326,"[[0.3561612554058238], [2.377000373604204], [0.1188315070791507]]"
327,pt_no327,"[[0.4982071101166244], [2.513269307977572], [0.3083734031797494]]"
328,pt_no328,"[[0.4999999999999999], [1.5], [0.3]]"
329,pt_no329,"[[0.4950484433951211], [2.521694186955878], [0.09999999999999998]]"
330,pt_no330,"[[0.4890915741234017], [2.531174490092936], [0.1192300603586423]]"
331,pt_no331,"[[0.4611260466978159], [2.548746395609091], [0.9]]"
332,pt_no332,"[[0.4388739533021844], [2.548746395609091], [0.9]]"
333,pt_no333,"[[0.5505879075386207], [2.506026081575747], [0.8114987061770914]]"
334,pt_no334,"[[0.4811744900929365], [2.460908425876598], [0.09999999999999998]]"
335,pt_no335,"[[0.4950484433951208], [2.478305813044122], [0.09999999999999998]]"
336,pt_no336,"[[0.4467620859913756], [2.450104951018435], [0.701414288437576]]"
337,pt_no337,"[[0.4049515566048791], [2.521694186955878], [0.09999999999999998]]"
338,pt_no338,"[[0.4], [2.5], [0.09999999999999998]]"
339,pt_no339,"[[0.2499999999999999], [2.400000000000001], [0.0]]"
340,pt_no340,"[[0.4999982948127153], [2.500412935613384], [0.2499228867919375]]"
341,pt_no341,"[[0.4454355725582314], [2.480001936730221], [0.09999999999999998]]"
342,pt_no342,"[[0.4493025128822374], [2.463996343277441], [0.09999999999999998]]"
343,pt_no343,"[[0.4454355725582314], [2.480001936730221], [0.9]]"
344,pt_no344,"[[0.4], [2.5], [0.9]]"
345,pt_no345,"[[0.4049515566048791], [2.521694186955878], [0.9]]"
346,pt_no346,"[[0.2499999999999999], [2.400000000000001], [1.0]]"
347,pt_no347,"[[0.0], [3.0], [0.75]]"
348,pt_no348,"[[0.0], [3.0], [0.4999999999999999]]"
349,pt_no349,"[[0.2499999999999999], [3.0], [0.0]]"
350,pt_no350,"[[0.4999999999999999], [3.0], [0.0]]"
351,pt_no351,"[[0.4999999999999999], [2.100000000000002], [0.0]]"
352,pt_no352,"[[0.648882180764324], [2.593144301132754], [0.8753768174857475]]"
353,pt_no353,"[[0.4713911494098078], [2.45480687301229], [0.1202831942290499]]"
354,pt_no354,"[[0.4950484433951208], [2.478305813044122], [0.9]]"
355,pt_no355,"[[0.4276786123202646], [2.455259015969125], [0.86785899413565]]"
356,pt_no356,"[[0.75], [1.800000000000003], [0.0]]"
357,pt_no357,"[[1.0], [1.800000000000003], [0.0]]"
358,pt_no358,"[[0.9386920928517561], [1.9804505274746], [0.08177313824333736]]"
359,pt_no359,"[[1.0], [2.100000000000002], [0.0]]"
360,pt_no360,"[[0.0], [1.800000000000003], [1.0]]"
361,pt_no361,"[[0.0], [2.100000000000002], [1.0]]"
362,pt_no362,"[[0.4999999999999999], [1.800000000000003], [0.0]]"
363,pt_no363,"[[0.4188255099070634], [2.539091574123402], [0.9]]"
364,pt_no364,"[[0.3654031701644345], [2.675667127235744], [0.903095409436549]]"
365,pt_no365,"[[1.0], [2.400000000000001], [0.2499999999999999]]"
366,pt_no366,"[[0.0], [2.100000000000002], [0.4999999999999999]]"
367,pt_no367,"[[0.2499999999999999], [2.700000000000001], [1.0]]"
368,pt_no368,"[[0.4956798968878216], [2.479669062483053], [0.3468265330304762]]"
369,pt_no369,"[[0.4253885723373854], [2.543523299833628], [0.1339958425136746]]"
370,pt_no370,"[[0.2499999999999999], [2.100000000000002], [0.0]]"
371,pt_no371,"[[0.4013918942936157], [2.280798160169521], [0.1234487706935725]]"
