,no,cv_no,region,temp_I,integ_I
46,cv_no46,"[252, 357, 329]",34,0.082,4.530000000000001
47,cv_no47,"[123, 325, 124]",34,0.418,6.736000000000001
48,cv_no48,"[245, 250, 228]",34,0.04,3.7509999999999994
49,cv_no49,"[145, 333, 146]",34,0.682,11.552
50,cv_no50,"[238, 239, 28]",34,0.191,3.147
51,cv_no51,"[229, 341, 217]",34,0.14,3.0309999999999997
52,cv_no52,"[164, 337, 165]",34,0.496,9.302
53,cv_no53,"[150, 357, 151]",34,0.057,5.543000000000002
54,cv_no54,"[292, 384, 249]",34,0.002,0.10200000000000002
55,cv_no55,"[190, 356, 191]",34,0.249,3.737
56,cv_no56,"[291, 332, 131]",34,0.846,13.719999999999999
57,cv_no57,"[159, 334, 21]",34,0.215,10.353000000000002
58,cv_no58,"[275, 386, 221]",34,0.07,1.6090000000000002
59,cv_no59,"[234, 373, 225]",34,0.382,6.13
60,cv_no60,"[20, 370, 152]",34,0.192,7.621999999999999
61,cv_no61,"[250, 309, 247]",34,0.182,6.782999999999999
62,cv_no62,"[162, 321, 163]",34,0.102,1.8200000000000003
63,cv_no63,"[196, 359, 197]",34,0.286,4.569
64,cv_no64,"[230, 398, 253]",34,0.174,5.231000000000001
65,cv_no65,"[313, 363, 235]",34,0.01,0.7880000000000003
66,cv_no66,"[287, 321, 162]",34,0.044,1.1350000000000005
67,cv_no67,"[389, 396, 217]",34,0.057,2.822
68,cv_no68,"[348, 368, 127]",34,0.443,7.218
69,cv_no69,"[130, 319, 291]",34,0.753,12.147
70,cv_no70,"[198, 360, 199]",34,0.58,9.046000000000001
71,cv_no71,"[261, 334, 245]",34,0.115,6.6240000000000006
72,cv_no72,"[236, 325, 299]",34,0.439,7.074999999999999
73,cv_no73,"[128, 347, 129]",34,0.644,10.331000000000001
74,cv_no74,"[125, 324, 126]",34,0.436,7.0569999999999995
75,cv_no75,"[16, 323, 320]",34,0.584,9.236
76,cv_no76,"[42, 118, 41]",34,0.002,0.03700000000000001
77,cv_no77,"[40, 41, 119]",34,0.002,0.03700000000000001
78,cv_no78,"[372, 397, 276]",34,0.257,4.154999999999999
79,cv_no79,"[283, 308, 226]",34,0.433,9.518999999999998
80,cv_no80,"[246, 347, 257]",34,0.628,10.137
81,cv_no81,"[313, 316, 36]",34,0.006,0.2250000000000001
82,cv_no82,"[165, 307, 166]",34,0.764,14.481
83,cv_no83,"[45, 272, 44]",34,0.021,0.4620000000000002
84,cv_no84,"[285, 374, 336]",34,0.22,3.4650000000000003
85,cv_no85,"[120, 298, 121]",34,0.429,6.824
86,cv_no86,"[225, 243, 234]",34,0.409,6.577
87,cv_no87,"[33, 254, 32]",34,0.212,3.766
88,cv_no88,"[273, 314, 254]",34,0.316,5.866
89,cv_no89,"[156, 309, 157]",34,0.267,8.53
90,cv_no90,"[284, 399, 117]",34,0.005,0.13500000000000004
91,cv_no91,"[287, 398, 232]",34,0.024,1.1049999999999998
92,cv_no92,"[221, 297, 275]",34,0.109,2.269
93,cv_no93,"[217, 316, 315]",34,0.038,1.8090000000000002
94,cv_no94,"[379, 380, 172]",34,0.234,6.367000000000001
95,cv_no95,"[216, 367, 340]",34,0.412,6.713
96,cv_no96,"[148, 295, 149]",34,0.325,7.228000000000001
97,cv_no97,"[261, 294, 253]",34,0.244,7.642
98,cv_no98,"[217, 341, 316]",34,0.091,2.8160000000000003
99,cv_no99,"[139, 383, 273]",34,0.193,4.189
100,cv_no100,"[122, 299, 123]",34,0.416,6.676
101,cv_no101,"[284, 394, 335]",34,0.018,0.4480000000000002
102,cv_no102,"[228, 389, 217]",34,0.065,2.7710000000000004
103,cv_no103,"[288, 289, 25]",34,0.197,2.7960000000000003
104,cv_no104,"[244, 293, 236]",34,0.444,7.175999999999999
105,cv_no105,"[246, 395, 219]",34,0.538,8.705
106,cv_no106,"[38, 363, 37]",34,0.003,0.20500000000000007
107,cv_no107,"[227, 262, 242]",34,0.681,11.174
108,cv_no108,"[224, 322, 237]",34,0.301,5.708000000000001
109,cv_no109,"[29, 259, 238]",34,0.272,4.386
110,cv_no110,"[132, 302, 133]",34,0.974,15.858
111,cv_no111,"[154, 300, 155]",34,0.279,8.486
112,cv_no112,"[32, 397, 31]",34,0.163,2.6809999999999996
113,cv_no113,"[283, 403, 306]",34,0.225,4.531
114,cv_no114,"[236, 340, 219]",34,0.46,7.462000000000001
115,cv_no115,"[45, 306, 272]",34,0.019,0.3790000000000001
116,cv_no116,"[224, 311, 297]",34,0.096,2.2510000000000003
117,cv_no117,"[228, 315, 245]",34,0.048,3.3150000000000004
118,cv_no118,"[264, 357, 252]",34,0.073,4.2090000000000005
119,cv_no119,"[30, 372, 233]",34,0.204,3.2750000000000004
120,cv_no120,"[237, 322, 240]",34,0.509,9.809000000000001
121,cv_no121,"[219, 367, 242]",34,0.553,9.003
122,cv_no122,"[136, 342, 314]",34,0.414,7.661
123,cv_no123,"[297, 311, 222]",34,0.043,1.365
124,cv_no124,"[219, 395, 244]",34,0.517,8.385
125,cv_no125,"[36, 316, 35]",34,0.03,1.1020000000000003
126,cv_no126,"[144, 345, 344]",34,0.643,11.103
127,cv_no127,"[191, 356, 288]",34,0.218,3.2199999999999998
128,cv_no128,"[316, 341, 35]",34,0.027,0.677
129,cv_no129,"[161, 317, 287]",34,0.219,5.615000000000002
130,cv_no130,"[185, 336, 186]",34,0.236,3.8229999999999995
131,cv_no131,"[218, 396, 389]",34,0.099,3.712
132,cv_no132,"[262, 302, 242]",34,0.837,13.783999999999999
133,cv_no133,"[134, 301, 135]",34,1.329,22.085
134,cv_no134,"[158, 310, 159]",34,0.141,7.1129999999999995
135,cv_no135,"[236, 299, 243]",34,0.428,6.88
136,cv_no136,"[387, 398, 230]",34,0.007,1.3679999999999997
137,cv_no137,"[232, 387, 224]",34,0.102,2.3099999999999996
138,cv_no138,"[275, 400, 220]",34,0.02,0.7990000000000003
139,cv_no139,"[28, 392, 0]",34,0.037,0.6540000000000001
140,cv_no140,"[318, 366, 220]",34,0.012,0.5340000000000001
141,cv_no141,"[276, 397, 216]",34,0.239,3.903
142,cv_no142,"[35, 258, 34]",34,0.086,1.8430000000000004
143,cv_no143,"[252, 295, 248]",34,0.209,5.407
