,pt_no,coordinate
306,pt_no306,"[[-35.30381011544269], [28.30789645173076], [-24.99999999999993]]"
307,pt_no307,"[[-40.28493431196128], [30.06150701704123], [-19.38491229286317]]"
308,pt_no308,"[[-9.121717699687904], [48.00675659691488], [98.81866979351162]]"
309,pt_no309,"[[5.443549751410444], [48.00675659691488], [94.67217648451862]]"
310,pt_no310,"[[9.500648826566248], [30.25680864363643], [113.5]]"
311,pt_no311,"[[-11.31401884603431], [28.11007046925406], [87.02716740025548]]"
312,pt_no312,"[[32.12301607725247], [-41.99324340308512], [-51.0371710741688]]"
313,pt_no313,"[[51.68918938753572], [-16.33724081597124], [-49.43750000000026]]"
314,pt_no314,"[[33.08603923190423], [-41.99324340308512], [-75.48848247290398]]"
315,pt_no315,"[[22.46256312860804], [-16.00999010273838], [-73.82652564472265]]"
316,pt_no316,"[[-16.11865903286305], [18.64306444676099], [46.80021437366246]]"
317,pt_no317,"[[-22.58898118762854], [7.668163126048769], [49.50341067739564]]"
318,pt_no318,"[[-3.319155302737389], [3.023412926536959], [52.41895547999043]]"
319,pt_no319,"[[-6.801465819220384], [15.81680686891949], [56.81756908989091]]"
320,pt_no320,"[[-12.0082938930851], [-3.431218744247666], [16.59999999999999]]"
321,pt_no321,"[[-12.41564440569843], [0.4168256826701153], [16.59999999999999]]"
322,pt_no322,"[[-15.21533755816104], [-2.725095225691987], [16.59999999999999]]"
323,pt_no323,"[[4.358747486668502], [30.14276134936798], [16.59999999999999]]"
324,pt_no324,"[[9.796929524590345], [30.3935304885513], [24.15261482398027]]"
325,pt_no325,"[[8.585760624002504], [32.79602576208516], [16.59999999999999]]"
326,pt_no326,"[[1.90731816253807], [31.23978371987734], [22.02736206465504]]"
327,pt_no327,"[[-10.12980945901107], [-7.294246697953371], [-39.28470493009852]]"
328,pt_no328,"[[-6.576620555038868], [-12.82686433069702], [-35.71895321142932]]"
329,pt_no329,"[[-8.611136270017996], [-12.34996217427568], [-40.79705813118285]]"
330,pt_no330,"[[-5.25043157541081], [-7.94721688245125], [-37.31462621125775]]"
331,pt_no331,"[[-28.76074560744208], [-28.95008874587462], [15.79999999999999]]"
332,pt_no332,"[[-30.84319891227661], [-32.89335056116015], [15.79999999999999]]"
333,pt_no333,"[[-33.6169269648729], [-28.61692111051758], [15.79999999999999]]"
