,no,pt_no,region,temp_I,sekisan_I
347,cv_no347,"[2208, 2175, 2298, 4737]",12,0.0,0.0
348,cv_no348,"[1772, 1953, 351, 1828]",12,0.0,0.0
349,cv_no349,"[1460, 1353, 4304, 4830]",12,0.0,0.0
350,cv_no350,"[1129, 1234, 953, 4868]",12,0.0,0.0
351,cv_no351,"[2823, 4259, 2692, 4966]",12,0.0,0.0
352,cv_no352,"[3854, 4529, 3798, 4801]",12,0.0,0.0
353,cv_no353,"[2988, 3054, 4058, 4509]",12,0.0,0.0
354,cv_no354,"[1092, 4648, 1238, 4720]",12,0.0,0.0
355,cv_no355,"[2522, 2560, 2519, 4162]",12,0.0,0.0
356,cv_no356,"[1710, 1509, 4128, 4735]",12,0.0,0.0
357,cv_no357,"[4072, 4705, 3638, 4906]",12,0.0,0.0
358,cv_no358,"[2680, 2681, 2679, 3978]",12,0.0,0.0
359,cv_no359,"[3303, 3339, 3313, 4029]",12,0.0,0.0
360,cv_no360,"[781, 3623, 627, 3825]",12,0.0,0.0
361,cv_no361,"[2837, 5033, 2809, 5068]",12,0.0,0.0
362,cv_no362,"[1444, 1429, 1443, 4789]",12,0.0,0.0
363,cv_no363,"[1904, 1905, 1906, 3979]",12,0.0,0.0
364,cv_no364,"[3571, 3667, 3781, 4254]",12,0.0,0.0
365,cv_no365,"[1068, 4148, 3781, 4254]",12,0.0,0.0
366,cv_no366,"[3619, 3808, 4405, 4627]",12,0.0,0.0
367,cv_no367,"[3802, 4315, 3994, 4736]",12,0.0,0.0
368,cv_no368,"[2746, 4242, 2588, 4427]",12,0.0,0.0
369,cv_no369,"[1736, 1953, 351, 1772]",12,0.0,0.0
370,cv_no370,"[3637, 4727, 3920, 4815]",12,0.0,0.0
371,cv_no371,"[3028, 3052, 3063, 4742]",12,0.0,0.0
372,cv_no372,"[2652, 2691, 2651, 4124]",12,0.0,0.0
373,cv_no373,"[3824, 4332, 3682, 4578]",12,0.0,0.0
374,cv_no374,"[3630, 4483, 3911, 4923]",12,0.0,0.0
375,cv_no375,"[2107, 2162, 2260, 4452]",12,0.0,0.0
376,cv_no376,"[1729, 4128, 1715, 5017]",12,0.0,0.0
377,cv_no377,"[2463, 2430, 2398, 4784]",12,0.0,0.0
378,cv_no378,"[1539, 1472, 4240, 4755]",12,0.0,0.0
379,cv_no379,"[1995, 1971, 4491, 4750]",12,0.0,0.0
380,cv_no380,"[2396, 2426, 2430, 4784]",12,0.0,0.0
381,cv_no381,"[3598, 4518, 3899, 4580]",12,0.0,0.0
