,0
1449,2441
1450,3739
1451,4049
1452,3740
1453,4207
1454,371
1455,1300
1456,598
1457,2503
1458,2502
1459,3269
1460,628
1461,2504
1462,4315
1463,3402
1464,3343
1465,2985
1466,3344
1467,3812
1468,2427
1469,2180
1470,2887
1471,3283
1472,1195
1473,1062
1474,1656
1475,332
1476,3103
1477,331
1478,3565
1479,2622
1480,2366
1481,1835
1482,3057
1483,2279
1484,2296
1485,2717
1486,3938
1487,4203
1488,2118
1489,2489
1490,3645
1491,626
1492,4112
1493,3708
1494,3674
1495,2271
1496,3384
1497,585
1498,872
1499,1626
1500,704
1501,2365
1502,3170
1503,1657
1504,4296
1505,129
1506,2631
1507,3440
1508,2542
1509,1140
1510,2432
1511,1947
1512,3383
1513,4442
1514,3264
1515,3541
1516,1418
1517,1763
1518,3582
1519,2009
1520,1627
1521,4204
1522,2461
1523,2197
1524,1467
1525,3840
1526,2256
1527,1439
1528,333
1529,4208
1530,3021
1531,627
1532,2961
1533,3914
1534,2393
1535,2580
1536,2403
1537,706
1538,1063
1539,1194
1540,899
1541,3286
1542,1867
1543,128
1544,810
1545,4229
1546,1507
1547,3837
1548,3071
1549,3117
1550,948
1551,3197
1552,4066
1553,4497
1554,4073
1555,1014
1556,646
1557,3874
1558,4050
1559,3300
1560,809
1561,2624
1562,4354
1563,661
1564,3052
1565,2507
1566,2177
1567,271
1568,2175
1569,1828
1570,1695
1571,219
1572,3321
1573,741
1574,2228
1575,3925
1576,3388
1577,3583
1578,1827
1579,1826
1580,3656
1581,2230
1582,1016
1583,1824
1584,2479
1585,3370
1586,664
1587,3
1588,269
1589,270
1590,2131
1591,3249
1592,3607
1593,3116
1594,3320
1595,663
1596,3387
1597,2229
1598,839
1599,3464
1600,743
1601,1889
1602,4322
1603,1694
1604,3782
1605,1799
1606,3526
1607,2258
1608,4498
1609,3151
1610,4377
1611,1693
1612,4140
1613,3322
1614,1888
1615,1508
1616,659
1617,3443
1618,995
1619,3291
1620,3688
1621,1781
1622,3542
1623,2460
1624,2563
1625,2234
1626,101
1627,3172
1628,1356
1629,0
1630,3684
1631,4316
1632,2964
1633,2581
1634,2001
1635,3429
1636,2003
1637,428
1638,3379
1639,851
1640,100
1641,2394
1642,3304
1643,3067
1644,3535
1645,2932
1646,2127
1647,1238
1648,3428
1649,3011
1650,2459
1651,1506
1652,3536
1653,657
1654,2592
1655,3010
1656,946
1657,2236
1658,2963
1659,3125
1660,2591
1661,1353
1662,1
1663,996
1664,596
1665,3290
1666,2582
1667,2458
1668,3933
1669,3157
1670,3534
1671,1782
1672,4095
1673,2834
1674,2524
1675,4499
1676,3152
1677,947
1678,4552
1679,4038
1680,3735
1681,102
1682,2523
1683,1893
1684,4765
1685,2814
1686,3181
1687,1639
1688,3081
1689,1920
1690,4409
1691,1754
1692,2566
1693,2567
1694,1109
1695,4106
1696,1637
1697,1690
1698,1691
1699,3622
1700,1111
1701,4786
1702,3198
1703,4411
1704,1355
1705,1753
1706,3028
1707,4023
1708,2929
1709,3082
1710,1139
1711,1229
1712,3617
1713,4410
1714,1860
1715,1192
1716,580
1717,4132
1718,4165
1719,1638
1720,1736
1721,3338
1722,1735
1723,4420
1724,4682
1725,2505
1726,3027
1727,3196
1728,3080
1729,1191
1730,2990
1731,2835
1732,4922
1733,969
1734,2900
1735,3217
1736,1174
1737,2322
1738,3374
1739,3988
1740,3709
1741,1716
1742,4077
1743,4590
1744,4458
1745,3722
1746,3000
1747,3368
1748,1848
1749,2578
1750,2577
1751,2943
1752,3008
1753,3405
1754,4875
1755,970
1756,3912
1757,3835
1758,2425
1759,3786
1760,2424
1761,3386
1762,3698
1763,3974
1764,3801
1765,3216
1766,3548
1767,3547
1768,824
1769,823
1770,2426
1771,2795
1772,1119
1773,3278
1774,2992
1775,4646
1776,3376
1777,1717
1778,2616
1779,370
1780,3105
1781,3279
1782,2796
1783,4494
1784,3215
1785,822
1786,4037
1787,4459
1788,2942
1789,3987
1790,1715
1791,4681
1792,3599
1793,4564
1794,4684
1795,3947
1796,3787
1797,3991
1798,4234
1799,389
1800,4369
1801,233
1802,693
1803,388
1804,3821
1805,2940
1806,694
1807,2941
1808,4432
1809,3366
1810,3557
1811,3558
1812,2877
1813,25
1814,1593
1815,1595
1816,3621
1817,3047
1818,1292
1819,960
1820,3609
1821,2238
1822,1845
1823,2315
1824,4247
1825,4335
1826,3045
1827,3436
1828,1122
1829,3046
1830,4278
1831,742
1832,1976
1833,3608
1834,2411
1835,145
1836,2316
1837,3550
1838,4780
1839,1094
1840,3435
1841,2902
1842,3397
1843,3685
1844,1410
1845,1726
1846,582
1847,2564
1848,1322
1849,658
1850,3775
1851,2901
1852,3776
1853,4447
1854,1409
1855,1257
1856,1255
1857,146
1858,3499
1859,3423
1860,950
1861,951
1862,952
1863,5
1864,3250
1865,1780
1866,2145
1867,4426
1868,4
1869,1861
1870,4366
1871,4365
1872,1256
1873,1309
1874,1800
1875,1885
1876,3612
1877,3738
1878,1291
1879,3480
1880,1624
1881,2633
1882,4403
1883,2636
1884,144
1885,2104
1886,3357
1887,4445
1888,485
1889,5055
1890,2870
1891,255
1892,253
1893,2821
1894,1899
1895,2173
1896,1897
1897,381
1898,2635
1899,3544
1900,2637
1901,1674
1902,4376
1903,1903
1904,1158
1905,1159
1906,1160
1907,3573
1908,1038
1909,3913
1910,837
1911,3465
1912,1884
1913,2640
1914,548
1915,4998
1916,1864
1917,2045
1918,1323
1919,4118
1920,1495
1921,3924
1922,2872
1923,2143
1924,802
1925,3355
1926,132
1927,2862
1928,2121
1929,4274
1930,2608
1931,1476
1932,379
1933,380
1934,2498
1935,3378
1936,1955
1937,1672
1938,1421
1939,2686
1940,4866
1941,4119
1942,4466
1943,4673
1944,1822
1945,1732
1946,1004
1947,3377
1948,801
1949,3556
1950,2639
1951,4109
1952,4693
1953,1120
1954,1865
1955,429
1956,1221
1957,1097
1958,4474
1959,1520
1960,1098
1961,1847
1962,3427
1963,2728
1964,133
1965,2727
1966,3822
1967,2620
1968,961
1969,1766
1970,2793
1971,1199
1972,2344
1973,2593
1974,2928
1975,1954
1976,549
1977,4111
1978,1095
1979,1093
1980,3024
1981,3086
1982,4903
1983,3087
1984,1901
1985,604
1986,4186
1987,2871
1988,4273
1989,484
1990,3804
1991,3150
1992,1765
1993,2239
1994,4883
1995,1198
1996,2144
1997,583
1998,3419
1999,3124
2000,1859
2001,1040
2002,24
2003,4243
2004,231
2005,2102
2006,4456
2007,1823
2008,2120
2009,1321
2010,1469
2011,4164
2012,1236
2013,3481
2014,2412
2015,3077
2016,4136
2017,2933
2018,232
2019,2638
2020,1470
2021,606
2022,2103
2023,2878
2024,3758
2025,3555
2026,4467
2027,4413
