,pt_no,coordinate
244,pt_no244,"[[51.68918938753573], [17.15062227675466], [-55.08139073458]]"
245,pt_no245,"[[51.68918938753573], [7.976712695160415], [-54.6593356614089]]"
246,pt_no246,"[[51.68918938753573], [12.91885365690658], [-46.095078762009]]"
247,pt_no247,"[[38.65650353922875], [14.04869850278699], [-49.95486609317353]]"
248,pt_no248,"[[-45.63131868815309], [18.00675659691485], [113.5]]"
249,pt_no249,"[[-41.79393107178073], [22.83666430619803], [100.0495802324669]]"
250,pt_no250,"[[-47.4711208532037], [13.51178924365703], [104.5679337047839]]"
251,pt_no251,"[[-13.31081061246438], [-28.33298936524079], [25.79999999999999]]"
252,pt_no252,"[[-13.31081061246439], [-36.99324340308519], [14.77682537005984]]"
253,pt_no253,"[[-4.843942801958404], [-24.17396869645293], [15.70523961610051]]"
254,pt_no254,"[[-88.31081061246428], [17.8522729284953], [10.41618883361093]]"
255,pt_no255,"[[-88.31081061246428], [22.79706134638917], [18.97608422295031]]"
256,pt_no256,"[[-88.31081061246428], [12.91551460111398], [18.97543761016578]]"
257,pt_no257,"[[-77.83796981843014], [23.11979937275154], [17.40598020174562]]"
258,pt_no258,"[[-5.948680885345125], [-13.59563242889864], [-94.92888391967897]]"
259,pt_no259,"[[-13.36541119212026], [-13.47776090587115], [-87.36728177831202]]"
260,pt_no260,"[[-16.65786641652712], [-10.23407332156999], [-99.9569551472567]]"
261,pt_no261,"[[-27.03125324794156], [-1.833491933769608], [26.59999999999999]]"
262,pt_no262,"[[-23.36184196444891], [-0.230693474434581], [26.59999999999999]]"
263,pt_no263,"[[-28.89754514933611], [2.9411134380661], [26.59999999999999]]"
264,pt_no264,"[[-24.1771362814676], [-2.823499125800806], [32.3830077622419]]"
265,pt_no265,"[[-37.2402742740986], [35.82042416195922], [81.27524642776936]]"
266,pt_no266,"[[-46.92547161451272], [38.12226133441424], [87.45169413409135]]"
267,pt_no267,"[[-44.41555627777876], [27.56009263833743], [88.00804679035612]]"
268,pt_no268,"[[-37.56019623459301], [38.98443330964903], [90.70517535429758]]"
269,pt_no269,"[[-88.3108106124643], [-33.44124254071379], [-39.5625000000002]]"
270,pt_no270,"[[-88.3108106124643], [-34.85416800134892], [-29.68750000000018]]"
271,pt_no271,"[[-77.31417637463954], [-41.9932434030851], [-37.80974874892058]]"
272,pt_no272,"[[-77.7346682284918], [-30.87667525620272], [-29.85775314128641]]"
273,pt_no273,"[[51.68918938753573], [-21.99323560104127], [-106.2049517180357]]"
274,pt_no274,"[[51.68918938753572], [-33.44124254071377], [-98.81249999999997]]"
275,pt_no275,"[[51.68918938753573], [-25.2578514202648], [-96.66825090569029]]"
276,pt_no276,"[[36.75977561634322], [-25.64844696468986], [-101.0402270857354]]"
277,pt_no277,"[[-5.847607031353643], [30.65829097878277], [-88.8686834744398]]"
278,pt_no278,"[[-9.476232337906909], [24.12687016825936], [-80.48311812506881]]"
279,pt_no279,"[[-5.536863868182517], [18.23795229736943], [-88.91272282783791]]"
280,pt_no280,"[[3.770975234805779], [26.5795172099458], [-83.72973661890792]]"
281,pt_no281,"[[12.24634367077138], [48.00675659691488], [-78.4952891381735]]"
282,pt_no282,"[[16.13498620411431], [48.00675659691488], [-69.31930906963535]]"
283,pt_no283,"[[6.242850520750327], [48.00675659691488], [-70.5300124157323]]"
284,pt_no284,"[[16.90859871274923], [38.56366517775826], [-76.22160755988551]]"
285,pt_no285,"[[38.21792061929624], [3.020394432497839], [-9.759802007717834]]"
286,pt_no286,"[[28.45292413221451], [4.054336462202883], [-17.96567508675009]]"
287,pt_no287,"[[32.26925539098226], [-7.70003891158639], [-17.58284423307359]]"
288,pt_no288,"[[28.34031542210653], [-3.534924811540493], [-7.392795307159574]]"
289,pt_no289,"[[51.68918938753575], [48.00675659691487], [-34.62499999999957]]"
290,pt_no290,"[[51.68918938753573], [41.11787772168547], [-29.68749999999946]]"
291,pt_no291,"[[43.13718852516443], [48.00675659691487], [-39.56249999999956]]"
292,pt_no292,"[[-41.03432363543327], [-31.58170011893559], [-85.98869100103755]]"
293,pt_no293,"[[-42.35176543666576], [-22.54036758494101], [-90.91902543642607]]"
294,pt_no294,"[[-37.81421007956682], [-30.04985761348288], [-96.52184713706033]]"
295,pt_no295,"[[-50.7220124783593], [-32.50421447118696], [-89.52053968693758]]"
296,pt_no296,"[[-53.31081061246439], [33.00675659691488], [17.1397459621556]]"
297,pt_no297,"[[-53.31081061246439], [28.00675659691487], [25.8]]"
298,pt_no298,"[[-53.31081061246439], [38.00675659691488], [25.8]]"
299,pt_no299,"[[-64.41912550905785], [35.99139377959123], [26.45056593972216]]"
300,pt_no300,"[[-43.08729960038565], [9.346407634854197], [-77.00886990576518]]"
301,pt_no301,"[[-32.21565589435086], [17.99623839084603], [-82.87915356702192]]"
302,pt_no302,"[[-32.0335603328261], [13.37781179640608], [-73.32067239277035]]"
303,pt_no303,"[[51.68918938753573], [31.60555262668491], [-45.43709696410474]]"
304,pt_no304,"[[51.68918938753573], [39.45475573454354], [-49.43749999999955]]"
305,pt_no305,"[[39.62362665458225], [36.59973600864824], [-54.06756225797405]]"
306,pt_no306,"[[40.50200634308899], [36.61265407594141], [-42.12708021851175]]"
307,pt_no307,"[[-47.3717290295334], [-23.68026662506163], [-81.39873538330676]]"
308,pt_no308,"[[-56.93308485686194], [-15.63291124739776], [-86.86100177789555]]"
309,pt_no309,"[[-55.23319622394697], [-18.00140238216527], [-75.55283337522133]]"
310,pt_no310,"[[-46.22356332013202], [-13.88427778894839], [-86.691634381889]]"
311,pt_no311,"[[-53.31081061246439], [18.0067565969148], [-15.79999999999997]]"
312,pt_no312,"[[-53.31081061246439], [23.00675659691485], [-24.77682537005979]]"
313,pt_no313,"[[-53.31081061246439], [12.85950063521121], [-24.71189624281348]]"
314,pt_no314,"[[-65.8550963292602], [12.62321222157135], [-20.38908403677078]]"
315,pt_no315,"[[-80.96946838392896], [48.0067565969149], [-116.1915205280655]]"
316,pt_no316,"[[-80.9903025367755], [40.68624852122613], [-123.5]]"
317,pt_no317,"[[-73.31081061246428], [39.34650255907052], [-123.5]]"
