,pt_no,coordinate
188,pt_no188,"[[0.0], [0.0], [30.00000000000002]]"
189,pt_no189,"[[0.0], [11.09294179726476], [22.50000000000002]]"
190,pt_no190,"[[15.26207726304338], [0.0], [36.58845223794217]]"
191,pt_no191,"[[43.03543983221608], [79.0], [88.83009188125044]]"
192,pt_no192,"[[34.56878848159253], [61.76612727624781], [86.7793288966662]]"
193,pt_no193,"[[0.0], [32.21013433724505], [66.52511804461392]]"
194,pt_no194,"[[0.0], [39.3767804128137], [79.33154194300558]]"
195,pt_no195,"[[0.0], [25.11468795268507], [79.70285586119508]]"
196,pt_no196,"[[0.0], [79.0], [60.00000000000015]]"
197,pt_no197,"[[0.0], [66.64027704376053], [53.59281845001679]]"
198,pt_no198,"[[70.0], [45.72877750052182], [64.93059481838738]]"
199,pt_no199,"[[70.0], [47.36412527230863], [25.29872385245459]]"
200,pt_no200,"[[13.5813600160301], [39.68153268317965], [0.0]]"
201,pt_no201,"[[27.46146840255999], [46.79719496325227], [0.0]]"
202,pt_no202,"[[14.18195590907727], [55.93275656439285], [0.0]]"
203,pt_no203,"[[16.71619018697971], [41.10634461876111], [16.35281566860073]]"
204,pt_no204,"[[12.3084145940889], [0.0], [21.24305711319877]]"
205,pt_no205,"[[0.0], [36.62881291835645], [29.13244347384291]]"
206,pt_no206,"[[0.0], [54.63754620846871], [12.46852548638309]]"
207,pt_no207,"[[0.0], [37.7540688495869], [15.10674504103008]]"
208,pt_no208,"[[0.0], [47.39999999999991], [0.0]]"
209,pt_no209,"[[48.94248203227669], [11.92848643458876], [120.0]]"
210,pt_no210,"[[0.0], [63.19999999999987], [0.0]]"
211,pt_no211,"[[9.938114272491696], [69.03831847304325], [0.0]]"
212,pt_no212,"[[0.0], [67.9591762017694], [10.60599371177785]]"
213,pt_no213,"[[11.91458832326373], [0.0], [98.5940200413079]]"
214,pt_no214,"[[11.91458832326373], [79.0], [98.5940200413079]]"
215,pt_no215,"[[0.0], [10.71478443721932], [109.2767149527979]]"
216,pt_no216,"[[0.0], [15.79999999999999], [120.0]]"
217,pt_no217,"[[9.931971718210185], [10.10188688212435], [120.0]]"
218,pt_no218,"[[12.61700830725821], [0.0], [52.37913165475334]]"
219,pt_no219,"[[0.0], [0.0], [60.00000000000015]]"
220,pt_no220,"[[12.63368993722017], [0.0], [67.49147540747157]]"
221,pt_no221,"[[56.89445337152024], [0.0], [37.39584387048993]]"
222,pt_no222,"[[70.0], [0.0], [30.00000000000002]]"
223,pt_no223,"[[56.07554282981351], [0.0], [21.9984895626477]]"
224,pt_no224,"[[70.0], [11.09294179726476], [22.50000000000002]]"
225,pt_no225,"[[27.46146840255999], [46.79719496325227], [120.0]]"
226,pt_no226,"[[21.89617595459711], [0.0], [74.27841101569885]]"
227,pt_no227,"[[70.0], [47.39999999999991], [0.0]]"
228,pt_no228,"[[70.0], [54.63754620846871], [12.46852548638309]]"
229,pt_no229,"[[70.0], [13.89876115448303], [38.64766272231459]]"
230,pt_no230,"[[0.0], [13.88456848583276], [67.25231568096032]]"
231,pt_no231,"[[31.33683076298954], [0.0], [67.25360670589106]]"
232,pt_no232,"[[48.60206905967168], [0.0], [109.3855568739334]]"
233,pt_no233,"[[22.05169669088334], [0.0], [59.80114693190875]]"
234,pt_no234,"[[22.23183817622386], [0.0], [45.91819016791734]]"
235,pt_no235,"[[70.0], [54.88911176966518], [35.285316665831]]"
236,pt_no236,"[[57.51966084781825], [56.74779552048867], [0.0]]"
237,pt_no237,"[[0.0], [10.06606675679765], [52.71217466595262]]"
238,pt_no238,"[[0.0], [0.0], [45.00000000000008]]"
239,pt_no239,"[[0.0], [46.35129490858525], [92.11253130233905]]"
240,pt_no240,"[[43.97492583587232], [79.0], [74.83849732245928]]"
241,pt_no241,"[[56.07554282981351], [79.0], [21.9984895626477]]"
242,pt_no242,"[[70.0], [30.50922596489691], [40.54876986922388]]"
243,pt_no243,"[[70.0], [23.20589121396663], [53.08524425839305]]"
244,pt_no244,"[[0.0], [31.59999999999995], [120.0]]"
245,pt_no245,"[[23.35817544594142], [22.59379413392224], [85.84362857853792]]"
246,pt_no246,"[[0.0], [47.39999999999991], [120.0]]"
247,pt_no247,"[[49.56066247505721], [58.83109336887379], [76.84265333430089]]"
248,pt_no248,"[[70.0], [11.36619556203733], [97.27350789547006]]"
249,pt_no249,"[[57.00961894323347], [0.0], [82.50000000000011]]"
250,pt_no250,"[[43.99480007856237], [79.0], [59.88379560815484]]"
251,pt_no251,"[[70.0], [55.65858186677082], [105.03208179916]]"
252,pt_no252,"[[70.0], [57.99746250760951], [90.41025732898869]]"
253,pt_no253,"[[56.25858506824527], [0.0], [97.53476222511368]]"
254,pt_no254,"[[54.69945149216989], [14.485797463533], [104.9261867675191]]"
255,pt_no255,"[[47.24061512904888], [21.69057243319454], [25.08901797151792]]"
256,pt_no256,"[[9.382917664652755], [0.0], [110.4014529166358]]"
257,pt_no257,"[[0.0], [45.72877750052182], [64.93059481838738]]"
258,pt_no258,"[[70.0], [57.06302184766912], [61.43569038216235]]"
259,pt_no259,"[[24.1023199319771], [54.64084487983487], [22.7975204420379]]"
260,pt_no260,"[[0.0], [24.01383327081346], [26.01481453938615]]"
261,pt_no261,"[[31.33683076298954], [79.0], [67.25360670589106]]"
262,pt_no262,"[[12.61700830725821], [79.0], [52.37913165475334]]"
263,pt_no263,"[[57.49963885609215], [22.37305817396993], [120.0]]"
264,pt_no264,"[[0.0], [31.59999999999995], [0.0]]"
265,pt_no265,"[[0.0], [22.39389177056243], [12.2257767186532]]"
266,pt_no266,"[[22.23183817622386], [79.0], [45.91819016791734]]"
267,pt_no267,"[[70.0], [20.82782994345391], [91.47941299860628]]"
268,pt_no268,"[[70.0], [0.0], [90.00000000000009]]"
269,pt_no269,"[[43.03543983221608], [0.0], [88.83009188125044]]"
270,pt_no270,"[[35.0], [38.11889913529177], [35.3126016357928]]"
271,pt_no271,"[[70.0], [23.35053529430188], [105.0772454990832]]"
272,pt_no272,"[[70.0], [79.0], [15.00000000000001]]"
273,pt_no273,"[[70.0], [63.19999999999987], [0.0]]"
274,pt_no274,"[[70.0], [67.9591762017694], [10.60599371177785]]"
275,pt_no275,"[[0.0], [10.17464678256373], [10.16981537675884]]"
276,pt_no276,"[[70.0], [63.19999999999987], [120.0]]"
277,pt_no277,"[[70.0], [68.00088469067313], [109.0304225276456]]"
278,pt_no278,"[[0.0], [79.0], [15.00000000000001]]"
279,pt_no279,"[[0.0], [57.06302184766912], [61.43569038216235]]"
280,pt_no280,"[[0.0], [79.0], [105.0]]"
281,pt_no281,"[[0.0], [68.00088469067313], [109.0304225276456]]"
282,pt_no282,"[[0.0], [63.19999999999987], [120.0]]"
283,pt_no283,"[[70.0], [10.71478443721932], [109.2767149527979]]"
284,pt_no284,"[[70.0], [15.79999999999999], [120.0]]"
285,pt_no285,"[[9.931971718210185], [10.10188688212435], [0.0]]"
286,pt_no286,"[[60.0567014043657], [0.0], [9.900971625360334]]"
287,pt_no287,"[[70.0], [10.17464678256373], [10.16981537675884]]"
288,pt_no288,"[[57.01281131324843], [0.0], [52.45935686109917]]"
289,pt_no289,"[[70.0], [39.69375399639219], [106.4932511272931]]"
290,pt_no290,"[[60.48842417767377], [10.02030892171174], [0.0]]"
291,pt_no291,"[[60.12084763184284], [0.0], [110.1866542534807]]"
292,pt_no292,"[[9.938114272491696], [69.03831847304325], [120.0]]"
293,pt_no293,"[[9.382917664652755], [79.0], [110.4014529166358]]"
294,pt_no294,"[[70.0], [0.0], [45.00000000000008]]"
295,pt_no295,"[[42.37685522595305], [0.0], [100.2398294191833]]"
296,pt_no296,"[[60.48842417767377], [10.02030892171174], [120.0]]"
297,pt_no297,"[[9.490854324524602], [0.0], [9.469389080464579]]"
298,pt_no298,"[[70.0], [15.79999999999999], [0.0]]"
299,pt_no299,"[[70.0], [0.0], [15.00000000000001]]"
300,pt_no300,"[[9.490854324524602], [79.0], [9.469389080464579]]"
301,pt_no301,"[[0.0], [0.0], [15.00000000000001]]"
302,pt_no302,"[[0.0], [0.0], [105.0]]"
303,pt_no303,"[[60.50393216956365], [69.00042179587557], [120.0]]"
304,pt_no304,"[[60.50393216956365], [69.00042179587557], [0.0]]"
305,pt_no305,"[[60.0567014043657], [79.0], [9.900971625360334]]"
306,pt_no306,"[[0.0], [15.79999999999999], [0.0]]"
307,pt_no307,"[[70.0], [31.59999999999995], [120.0]]"
308,pt_no308,"[[0.0], [0.0], [75.00000000000014]]"
309,pt_no309,"[[70.0], [0.0], [60.00000000000015]]"
310,pt_no310,"[[70.0], [10.06606675679765], [52.71217466595262]]"
311,pt_no311,"[[14.00000000000002], [79.0], [0.0]]"
312,pt_no312,"[[0.0], [79.0], [45.00000000000008]]"
313,pt_no313,"[[56.00000000000001], [0.0], [120.0]]"
314,pt_no314,"[[0.0], [0.0], [0.0]]"
315,pt_no315,"[[70.0], [0.0], [0.0]]"
316,pt_no316,"[[0.0], [0.0], [120.0]]"
317,pt_no317,"[[0.0], [79.0], [120.0]]"
318,pt_no318,"[[70.0], [0.0], [120.0]]"
319,pt_no319,"[[70.0], [0.0], [105.0]]"
320,pt_no320,"[[56.00000000000001], [79.0], [120.0]]"
321,pt_no321,"[[60.12084763184284], [79.0], [110.1866542534807]]"
322,pt_no322,"[[70.0], [79.0], [120.0]]"
323,pt_no323,"[[70.0], [79.0], [0.0]]"
324,pt_no324,"[[56.00000000000001], [79.0], [0.0]]"
325,pt_no325,"[[56.00000000000001], [0.0], [0.0]]"
326,pt_no326,"[[70.0], [79.0], [105.0]]"
327,pt_no327,"[[0.0], [79.0], [0.0]]"
328,pt_no328,"[[14.00000000000002], [0.0], [120.0]]"
329,pt_no329,"[[70.0], [47.39999999999991], [120.0]]"
330,pt_no330,"[[14.00000000000002], [0.0], [0.0]]"
331,pt_no331,"[[14.00000000000002], [79.0], [120.0]]"
332,pt_no332,"[[0.0], [20.82782994345391], [91.47941299860628]]"
333,pt_no333,"[[14.18195590907727], [55.93275656439285], [120.1]]"
334,pt_no334,"[[21.50861545338119], [68.05883580082363], [120.1]]"
335,pt_no335,"[[27.91354604309326], [58.39703930527362], [120.1]]"
336,pt_no336,"[[70.0], [31.59999999999995], [120.1]]"
337,pt_no337,"[[53.83127300554138], [39.63557674507884], [120.1]]"
338,pt_no338,"[[57.49963885609215], [22.37305817396993], [120.1]]"
339,pt_no339,"[[14.00000000000002], [79.0], [120.1]]"
340,pt_no340,"[[9.938114272491696], [69.03831847304325], [120.1]]"
341,pt_no341,"[[56.00000000000001], [0.0], [120.1]]"
342,pt_no342,"[[48.94248203227669], [11.92848643458876], [120.1]]"
343,pt_no343,"[[60.48842417767377], [10.02030892171174], [120.1]]"
344,pt_no344,"[[56.00000000000001], [79.0], [120.1]]"
345,pt_no345,"[[49.00000000000002], [67.05431345888925], [120.1]]"
