,pt_no,coordinate
165,pt_no165,"[[0.5000000000000003], [0.3333333333333333], [0.2500000000000002]]"
166,pt_no166,"[[0.6000000000000003], [0.416666666666667], [0.2500000000000002]]"
167,pt_no167,"[[0.6000000000000004], [0.3333333333333333], [0.2500000000000002]]"
168,pt_no168,"[[0.7000000000000002], [0.4166666666666667], [0.25]]"
169,pt_no169,"[[0.7000000000000002], [0.3333333333333333], [0.2499999999999999]]"
170,pt_no170,"[[0.8000000000000003], [0.4166666666666667], [0.2500000000000002]]"
171,pt_no171,"[[0.7000000000000002], [0.25], [0.25]]"
172,pt_no172,"[[0.0], [0.5], [0.2500000000000001]]"
173,pt_no173,"[[0.1], [0.5], [0.2500000000000001]]"
174,pt_no174,"[[0.2], [0.5], [0.2500000000000001]]"
175,pt_no175,"[[0.3000000000000001], [0.5], [0.2500000000000001]]"
176,pt_no176,"[[0.4000000000000001], [0.5], [0.2500000000000001]]"
177,pt_no177,"[[0.5000000000000001], [0.5], [0.2500000000000001]]"
178,pt_no178,"[[0.6000000000000002], [0.5], [0.2500000000000001]]"
179,pt_no179,"[[0.7000000000000002], [0.5], [0.2500000000000001]]"
180,pt_no180,"[[0.8000000000000003], [0.5], [0.2500000000000001]]"
181,pt_no181,"[[0.9000000000000004], [0.5], [0.2500000000000001]]"
182,pt_no182,"[[1.0], [0.5], [0.2500000000000001]]"
183,pt_no183,"[[0.6000000000000004], [0.2500000000000002], [0.2500000000000002]]"
184,pt_no184,"[[0.7000000000000002], [0.1666666666666667], [0.2500000000000001]]"
185,pt_no185,"[[0.7000000000000002], [0.1666666666666667], [0.1666666666666667]]"
186,pt_no186,"[[0.8000000000000003], [0.1666666666666667], [0.2500000000000001]]"
187,pt_no187,"[[0.8000000000000002], [0.1666666666666666], [0.1666666666666667]]"
188,pt_no188,"[[0.9000000000000004], [0.1666666666666667], [0.2500000000000002]]"
189,pt_no189,"[[0.9000000000000002], [0.1666666666666667], [0.1666666666666667]]"
190,pt_no190,"[[1.0], [0.1666666666666667], [0.2500000000000001]]"
191,pt_no191,"[[1.0], [0.1666666666666667], [0.1666666666666667]]"
192,pt_no192,"[[0.0], [0.2500000000000001], [0.2500000000000001]]"
193,pt_no193,"[[0.1000000000000001], [0.2500000000000002], [0.2500000000000002]]"
194,pt_no194,"[[0.2], [0.2500000000000002], [0.2500000000000001]]"
195,pt_no195,"[[0.3000000000000002], [0.2500000000000002], [0.2500000000000002]]"
196,pt_no196,"[[0.4000000000000001], [0.2500000000000002], [0.2500000000000002]]"
197,pt_no197,"[[0.5000000000000003], [0.2500000000000002], [0.2500000000000002]]"
198,pt_no198,"[[0.9000000000000004], [0.1666666666666667], [0.08333333333333333]]"
199,pt_no199,"[[1.0], [0.1666666666666667], [0.08333333333333334]]"
200,pt_no200,"[[0.3000000000000001], [0.3333333333333335], [0.0]]"
201,pt_no201,"[[0.3000000000000001], [0.2500000000000001], [0.0]]"
202,pt_no202,"[[0.4000000000000001], [0.3333333333333334], [0.0]]"
203,pt_no203,"[[0.4000000000000001], [0.2500000000000001], [0.0]]"
204,pt_no204,"[[0.2], [0.1666666666666667], [0.08333333333333331]]"
205,pt_no205,"[[0.2], [0.2500000000000001], [0.0]]"
