,no,cv_no,region,temp_I,integ_I
120,cv_no120,"[318, 154, 228, 52, 319, 159, 229, 53]",7,49.514700000000005,99.5147
121,cv_no121,"[319, 159, 229, 53, 320, 164, 230, 54]",7,49.514700000000005,99.5147
122,cv_no122,"[320, 164, 230, 54, 321, 169, 231, 55]",7,49.514700000000005,99.5147
123,cv_no123,"[321, 169, 231, 55, 322, 174, 232, 56]",7,49.514700000000005,99.5147
124,cv_no124,"[322, 174, 232, 56, 109, 28, 43, 5]",7,49.514700000000005,99.5147
125,cv_no125,"[353, 344, 263, 254, 354, 345, 264, 255]",7,49.514700000000005,99.5147
126,cv_no126,"[323, 314, 233, 224, 324, 315, 234, 225]",7,49.514700000000005,99.5147
127,cv_no127,"[324, 315, 234, 225, 325, 316, 235, 226]",7,49.514700000000005,99.5147
128,cv_no128,"[325, 316, 235, 226, 326, 317, 236, 227]",7,49.514700000000005,99.5147
129,cv_no129,"[326, 317, 236, 227, 327, 318, 237, 228]",7,49.514700000000005,99.5147
130,cv_no130,"[327, 318, 237, 228, 328, 319, 238, 229]",7,49.514700000000005,99.5147
131,cv_no131,"[328, 319, 238, 229, 329, 320, 239, 230]",7,49.514700000000005,99.5147
132,cv_no132,"[329, 320, 239, 230, 330, 321, 240, 231]",7,49.514700000000005,99.5147
133,cv_no133,"[330, 321, 240, 231, 331, 322, 241, 232]",7,49.514700000000005,99.5147
134,cv_no134,"[331, 322, 241, 232, 110, 109, 44, 43]",7,49.514700000000005,99.5147
135,cv_no135,"[86, 85, 25, 24, 332, 323, 242, 233]",63,0.34385202276285937,0.6910742449850826
136,cv_no136,"[375, 366, 330, 321, 376, 367, 331, 322]",7,49.514700000000005,99.5147
137,cv_no137,"[365, 165, 320, 164, 366, 170, 321, 169]",7,49.514700000000005,99.5147
138,cv_no138,"[366, 170, 321, 169, 367, 175, 322, 174]",7,49.514700000000005,99.5147
139,cv_no139,"[367, 175, 322, 174, 114, 29, 109, 28]",7,49.514700000000005,99.5147
140,cv_no140,"[90, 89, 85, 84, 368, 359, 323, 314]",64,0.3438520227628593,0.6910742449850824
141,cv_no141,"[368, 359, 323, 314, 369, 360, 324, 315]",7,49.514700000000005,99.5147
142,cv_no142,"[369, 360, 324, 315, 370, 361, 325, 316]",7,49.514700000000005,99.5147
143,cv_no143,"[370, 361, 325, 316, 371, 362, 326, 317]",7,49.514700000000005,99.5147
144,cv_no144,"[371, 362, 326, 317, 372, 363, 327, 318]",7,49.514700000000005,99.5147
145,cv_no145,"[372, 363, 327, 318, 373, 364, 328, 319]",7,49.514700000000005,99.5147
146,cv_no146,"[373, 364, 328, 319, 374, 365, 329, 320]",7,49.514700000000005,99.5147
147,cv_no147,"[374, 365, 329, 320, 375, 366, 330, 321]",7,49.514700000000005,99.5147
148,cv_no148,"[364, 160, 319, 159, 365, 165, 320, 164]",7,49.514700000000005,99.5147
149,cv_no149,"[376, 367, 331, 322, 115, 114, 110, 109]",7,49.514700000000005,99.5147
150,cv_no150,"[91, 90, 86, 85, 377, 368, 332, 323]",65,0.3438520227628593,0.691074244985083
151,cv_no151,"[377, 368, 332, 323, 378, 369, 333, 324]",7,49.514700000000005,99.5147
152,cv_no152,"[378, 369, 333, 324, 379, 370, 334, 325]",7,49.514700000000005,99.5147
153,cv_no153,"[379, 370, 334, 325, 380, 371, 335, 326]",7,49.514700000000005,99.5147
154,cv_no154,"[380, 371, 335, 326, 381, 372, 336, 327]",7,49.514700000000005,99.5147
155,cv_no155,"[381, 372, 336, 327, 382, 373, 337, 328]",7,49.514700000000005,99.5147
156,cv_no156,"[382, 373, 337, 328, 383, 374, 338, 329]",7,49.514700000000005,99.5147
157,cv_no157,"[383, 374, 338, 329, 384, 375, 339, 330]",7,49.514700000000005,99.5147
158,cv_no158,"[384, 375, 339, 330, 385, 376, 340, 331]",7,49.514700000000005,99.5147
159,cv_no159,"[199, 354, 70, 264, 204, 355, 71, 265]",7,49.514700000000005,99.5147
160,cv_no160,"[354, 345, 264, 255, 355, 346, 265, 256]",7,49.514700000000005,99.5147
161,cv_no161,"[355, 346, 265, 256, 356, 347, 266, 257]",7,49.514700000000005,99.5147
162,cv_no162,"[356, 347, 266, 257, 357, 348, 267, 258]",7,49.514700000000005,99.5147
163,cv_no163,"[357, 348, 267, 258, 358, 349, 268, 259]",7,49.514700000000005,99.5147
164,cv_no164,"[358, 349, 268, 259, 113, 112, 47, 46]",7,49.514700000000005,99.5147
165,cv_no165,"[18, 88, 3, 27, 179, 350, 66, 260]",66,0.34385202276285887,0.6910742449850802
166,cv_no166,"[179, 350, 66, 260, 184, 351, 67, 261]",7,49.514700000000005,99.5147
167,cv_no167,"[184, 351, 67, 261, 189, 352, 68, 262]",7,49.514700000000005,99.5147
168,cv_no168,"[189, 352, 68, 262, 194, 353, 69, 263]",7,49.514700000000005,99.5147
169,cv_no169,"[194, 353, 69, 263, 199, 354, 70, 264]",7,49.514700000000005,99.5147
170,cv_no170,"[83, 313, 223, 538, 6, 37, 42, 133]",7,49.514700000000005,99.5147
171,cv_no171,"[204, 355, 71, 265, 209, 356, 72, 266]",7,49.514700000000005,99.5147
172,cv_no172,"[209, 356, 72, 266, 214, 357, 73, 267]",7,49.514700000000005,99.5147
173,cv_no173,"[214, 357, 73, 267, 219, 358, 74, 268]",7,49.514700000000005,99.5147
174,cv_no174,"[219, 358, 74, 268, 38, 113, 7, 47]",7,49.514700000000005,99.5147
175,cv_no175,"[89, 9, 84, 8, 359, 135, 314, 134]",67,0.3438520227628592,0.6910742449850817
176,cv_no176,"[359, 135, 314, 134, 360, 140, 315, 139]",7,49.514700000000005,99.5147
177,cv_no177,"[360, 140, 315, 139, 361, 145, 316, 144]",7,49.514700000000005,99.5147
178,cv_no178,"[361, 145, 316, 144, 362, 150, 317, 149]",7,49.514700000000005,99.5147
179,cv_no179,"[362, 150, 317, 149, 363, 155, 318, 154]",7,49.514700000000005,99.5147
180,cv_no180,"[363, 155, 318, 154, 364, 160, 319, 159]",7,49.514700000000005,99.5147
181,cv_no181,"[271, 59, 496, 148, 272, 60, 497, 153]",7,49.514700000000005,99.5147
182,cv_no182,"[188, 531, 187, 486, 193, 532, 192, 487]",7,49.514700000000005,99.5147
183,cv_no183,"[193, 532, 192, 487, 198, 533, 197, 488]",7,49.514700000000005,99.5147
184,cv_no184,"[198, 533, 197, 488, 203, 534, 202, 489]",7,49.514700000000005,99.5147
185,cv_no185,"[203, 534, 202, 489, 208, 535, 207, 490]",7,49.514700000000005,99.5147
186,cv_no186,"[208, 535, 207, 490, 213, 536, 212, 491]",7,49.514700000000005,99.5147
187,cv_no187,"[213, 536, 212, 491, 218, 537, 217, 492]",7,49.514700000000005,99.5147
188,cv_no188,"[218, 537, 217, 492, 223, 538, 222, 493]",7,49.514700000000005,99.5147
189,cv_no189,"[223, 538, 222, 493, 42, 133, 41, 128]",7,49.514700000000005,99.5147
190,cv_no190,"[13, 0, 104, 12, 269, 57, 494, 138]",68,0.3438520227628587,0.6910742449850804
191,cv_no191,"[269, 57, 494, 138, 270, 58, 495, 143]",7,49.514700000000005,99.5147
192,cv_no192,"[270, 58, 495, 143, 271, 59, 496, 148]",7,49.514700000000005,99.5147
193,cv_no193,"[183, 530, 182, 485, 188, 531, 187, 486]",7,49.514700000000005,99.5147
194,cv_no194,"[272, 60, 497, 153, 273, 61, 498, 158]",7,49.514700000000005,99.5147
195,cv_no195,"[273, 61, 498, 158, 274, 62, 499, 163]",7,49.514700000000005,99.5147
196,cv_no196,"[274, 62, 499, 163, 275, 63, 500, 168]",7,49.514700000000005,99.5147
197,cv_no197,"[275, 63, 500, 168, 276, 64, 501, 173]",7,49.514700000000005,99.5147
198,cv_no198,"[276, 64, 501, 173, 277, 65, 502, 178]",7,49.514700000000005,99.5147
199,cv_no199,"[277, 65, 502, 178, 33, 4, 129, 32]",7,49.514700000000005,99.5147
200,cv_no200,"[14, 13, 105, 104, 278, 269, 503, 494]",69,0.34385202276285876,0.6910742449850797
201,cv_no201,"[278, 269, 503, 494, 279, 270, 504, 495]",7,49.514700000000005,99.5147
202,cv_no202,"[279, 270, 504, 495, 280, 271, 505, 496]",7,49.514700000000005,99.5147
203,cv_no203,"[280, 271, 505, 496, 281, 272, 506, 497]",7,49.514700000000005,99.5147
204,cv_no204,"[108, 107, 103, 102, 530, 521, 485, 476]",70,0.34385202276285864,0.6910742449850799
205,cv_no205,"[107, 106, 102, 101, 521, 512, 476, 467]",71,0.34385202276285887,0.6910742449850799
206,cv_no206,"[521, 512, 476, 467, 522, 513, 477, 468]",7,49.514700000000005,99.5147
207,cv_no207,"[522, 513, 477, 468, 523, 514, 478, 469]",7,49.514700000000005,99.5147
208,cv_no208,"[523, 514, 478, 469, 524, 515, 479, 470]",7,49.514700000000005,99.5147
209,cv_no209,"[524, 515, 479, 470, 525, 516, 480, 471]",7,49.514700000000005,99.5147
